DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-08,1074693,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-09,704559,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-10,461440,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-11,320848,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-12,389332,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-01,343476,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-02,342961,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-03,431752,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-04,579310,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-05,697535,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-06,955361,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-07,1311984,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-08,1330091,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-09,995689,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-10,714856,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-11,539312,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2022-12,587717,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2023-01,590190,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2023-02,562606,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2023-03,650930,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-01,3996431,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-02,3963075,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-03,4716070,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-04,4953667,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-05,4857528,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-06,5167767,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-07,5628727,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-08,5592219,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-09,5115171,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-10,5106899,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-11,3838299,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2019-12,4332063,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-01,4081886,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-02,3973871,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-03,1793035,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-04,30701,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-05,56493,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-06,277594,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-07,1279181,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-08,1622932,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-09,1044832,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-10,840382,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-11,390083,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2020-12,650807,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-01,537820,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,CH,2021-02,346778,
